"""Thruster Ladder""",AMRAP/Interval,AMRAP in 12 Minutes,"3 Thrusters ((45/30 kgs)), 3 Pull-ups. Add 3 reps to each movement every round (6, 6; 9, 9; etc.)","Barbell, Pull-up Bar","Full Body, High-Intensity","Strength Endurance, Work Capacity",
"""Dumbbell Trio""",Dumbbell/Kettlebell,3 Rounds For Time,"20 Dumbbell Snatches ((25/15 kgs)), 20 Dumbbell Box Step-overs (20 in), 20 V-ups.","Dumbbell, Box","Full Body, Core","Conditioning, Unilateral Strength",
"""Benchmark B""",Monostructural/Cardio,For Time (50-40-30-20-10 Reps),"Double Unders (2x reps: 100-80-60-40-20), Air Squats.",Jump Rope,"Legs, Cardio","Speed, Coordination",
"""Core Destroyer""",Gymnastics/Skill,5 Rounds For Time,"15 GHD Sit-ups, 10 Toes-to-Bar, 15 Back Extensions.","GHD Machine, Pull-up Bar","Core, Posterior Chain","Midline Strength, Endurance",
"""Kettlebell Swing & Goblet""",Dumbbell/Kettlebell,AMRAP in 18 Minutes,"15 Kettlebell Swings (24/16 kg), 10 Goblet Squats (24/16 kg), 5 Strict Push-ups.",Kettlebell,"Legs, Hips, Chest",Muscular Endurance,
"""Heavy Deadlifts""",Barbell/Weightlifting,5 Rounds For Time,"5 Deadlifts ((125/85 kgs)), 10 Hand Release Push-ups, 15 Box Jumps (24/20 in).","Barbell, Box","Posterior Chain, Chest, Hips","Strength, Anaerobic Power",
"""Running & Rowing""",Monostructural/Cardio,For Time (1000-800-600-400-200 meters),"Complete the distance on the Rower, then run the same distance.","Rower, Running Track/Space","Cardiovascular, Legs","Pacing, Aerobic Power",
"""Pressing Pyramid""",EMOM/Pacing,EMOM for 15 Minutes,Odd Minutes: Max effort Strict Press ((45/30 kgs)). Even Minutes: Max effort Pull-ups. Rest on the 15th minute.,"Barbell, Pull-up Bar","Shoulders, Back, Biceps","Strength, Muscular Stamina",
"""Partner Thruster""",Barbell/Weightlifting,For Time (Shared Work),"Accumulate 100 Thrusters ((45/30 kgs)). Partner A works, Partner B holds a Plank. Switch when Partner A breaks.",Barbell (45/30 kgs),"Full Body, Core","Teamwork, Strength Endurance",
"""Bike & Burpee""",AMRAP/Interval,4 Rounds For Time,"20/15 Calorie Bike, 10 Burpee Box Jump Overs.","Assault/Echo Bike, Box","Cardiovascular, Hips",High-Intensity Conditioning,
"""The Chipper""",Grind/Endurance,For Time (Unbroken Task),"50 Box Jumps, 40 Wall Balls, 30 Kettlebell Swings, 20 Toes-to-Bar, 10 Overhead Squats ((45/30 kgs)). Must complete all reps of one exercise before moving to the next.","Box, Wall Ball, Kettlebell, Barbell","Full Body, Grinding Pace","Stamina, Volume Tolerance",
"""Dumbbell Devils""",Dumbbell/Kettlebell,AMRAP in 10 Minutes,"5 Devil's Press ((25/15 kgs)), 10 Alternating Pistol Squats (or weighted Lunges).",2 Dumbbells,"Full Body, Unilateral Strength","Power, Coordination",
"""Triple EMOM""",EMOM/Pacing,EMOM for 24 Minutes,Minute 1: 12/9 Calorie Row. Minute 2: 10 Burpees over the Rower. Minute 3: 10 GHD Sit-ups. Minute 4: Rest. (Repeat 6 times),"Rower, GHD Machine","Full Body, Core, Cardio","Pacing, Aerobic Capacity",
"""Dumbbell AMRAP""",AMRAP/Interval,AMRAP in 20 Minutes,"10 Dumbbell Thrusters ((20/10 kgs)), 10 Dumbbell Facing Burpees, 10 Dumbbell Box Step-overs (20 in).","2 Dumbbells, Box","Full Body, Anaerobic","Muscular Endurance, Work Capacity",
"""Strict Gymnastics""",Gymnastics/Skill,EMOM for 16 Minutes,Odd Minutes: Max Strict Pull-ups. Even Minutes: Max Strict Handstand Push-ups.,"Pull-up Bar, Wall","Upper Body Strength, Gymnastics","Relative Strength, Stamina",
"""Running EMOM Deluxe""",EMOM/Pacing,EMOM for 30 Minutes,Minute 1: 200m Run. Minute 2: 15 Kettlebell Swings (24/16 kg). Minute 3: 10 Push-ups. (Repeat 10 times),Kettlebell,"Full Body, Cardio","Aerobic Power, Consistency",
"""Barbell & Bike AMRAP""",Barbell/Weightlifting,AMRAP in 14 Minutes,"12 Deadlifts ((85/60 kgs)), 8 Hang Power Cleans ((85/60 kgs)), 10/8 Calorie Bike.","Barbell, Bike","Posterior Chain, Cardio","Power Endurance, Lactic Threshold",
"""Bodyweight 30""",Bodyweight/Travel,AMRAP in 30 Minutes,"100 Single Unders, 20 Sit-ups, 10 Walking Lunges (per leg).",Jump Rope,"Full Body, Endurance","Stamina, High Volume",
"""The Push/Pull EMOM""",Gymnastics/Skill,EMOM for 20 Minutes,Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar.,"Rings, Pull-up Bar","Upper Body, Core",Gymnastic Stamina,
"""Overhead Carry AMRAP""",Dumbbell/Kettlebell,AMRAP in 16 Minutes,"50 ft Single-Arm Overhead Dumbbell Carry (right arm, (25/15 kgs)), 10 Burpees, 50 ft Single-Arm Overhead Dumbbell Carry (left arm), 10 Sit-ups.",Dumbbell,"Core Stability, Shoulders, Cardio","Midline Strength, Unilateral Stability",
"""EMOM of Thrusters""",EMOM/Pacing,EMOM for 10 Minutes,Complete 6 Thrusters ((45/30 kgs)). Rest with any remaining time.,Barbell (45/30 kgs),"Full Body, Pacing","Anaerobic Power, Pacing",
"""Rowing Pyramid AMRAP""",AMRAP/Interval,AMRAP in 17 Minutes,"5 Pull-ups, 10 Push-ups, 15 Squats. After each round, row 100m before starting the next round.","Pull-up Bar, Rower","Full Body, Conditioning","Muscular Endurance, Aerobic Transition",
"""Snatch Cycle AMRAP""",Barbell/Weightlifting,AMRAP in 12 Minutes,"6 Power Snatches ((35/25 kgs)), 12 Box Jumps (24/20 in), 18 Kettlebell Swings (24/16 kg).","Barbell, Box, Kettlebell","Hips, Shoulders, Legs","Explosive Speed, Consistency",
"""Partner AMRAP (Alt Rounds)""",AMRAP/Interval,AMRAP in 24 Minutes (Teams of 2),"Partner A completes a full round of: 15 Wall Balls, 10 Calorie Row. Partner B rests. Partners alternate rounds.","Wall Ball, Rower","Full Body, Pacing","Teamwork, Consistent Output",
"""Heavy Dumbbell EMOM""",Dumbbell/Kettlebell,EMOM for 15 Minutes,Minutes 1-5: 5 Dumbbell Cleans ((30/25 kgs)). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs).,2 Heavy Dumbbells,"Strength, Power",Strength Endurance,
"""Gymnastics Chipper AMRAP""",Gymnastics/Skill,AMRAP in 15 Minutes,"10 Chest-to-Bar Pull-ups, 15 Hand Release Push-ups, 20 AbMat Sit-ups.","Pull-up Bar, Mat","Upper Body, Core",Gymnastic Stamina,
"""Double-Under EMOM""",EMOM/Pacing,EMOM for 18 Minutes,Minute 1: 50 Double-Unders. Minute 2: 10 V-Ups. Minute 3: 5 Clean & Jerks ((60/45 kgs)).,"Jump Rope, Barbell","Full Body, Coordination","Pacing, Technical Consistency",
"""3 Rounds of AMRAP""",AMRAP/Interval,"3 Rounds: 4 Minutes AMRAP, 1 Minute Rest","10 Push Press ((45/30 kgs)), 10 Toes-to-Bar. Score is total reps across all 3 working rounds.","Barbell, Pull-up Bar","Shoulders, Core","Anaerobic Power, Recovery",
"""Bike & Box EMOM""",EMOM/Pacing,EMOM for 16 Minutes,Odd Minutes: 12/9 Calorie Bike. Even Minutes: 8 Box Jumps (30/24 in).,"Bike, High Box","Explosive Power, Cardiovascular",High Power Output,
"""Kettlebell Swing AMRAP""",Dumbbell/Kettlebell,AMRAP in 10 Minutes,"10 Russian Kettlebell Swings (32/24 kg), 10 Burpees.",Heavy Kettlebell,"Hips, Cardio",Explosive Strength Endurance,
"""Bodyweight Intervals""",Bodyweight/Travel,"AMRAP 3 Minutes, Rest 1 Minute (x5)","5 Burpees, 10 Push-ups, 15 Squats. Score is total rounds/reps completed.",None (Bodyweight),"Full Body, Cardio","Pacing, High-Intensity Intervals",
"""Bar Muscle-Up EMOM""",Gymnastics/Skill,EMOM for 12 Minutes,"Complete 1-3 Bar Muscle-Ups. If you fail a rep or cannot complete the required reps, switch to 5 Pull-ups for that minute.",Pull-up Bar,"Upper Body, Gymnastics","Skill Practice, Efficiency",
"""The Long Haul""",Grind/Endurance,For Time (20-30 minutes),"1 Mile Run, 50 Push Press ((45/30 kgs)), 1 Mile Run.","Barbell, Running Space","Legs, Shoulders, Cardio","Stamina, Muscular Fatigue Management",
"""Bear Complex EMOM""",Barbell/Weightlifting,EMOM for 15 Minutes,"Complete 1 full ""Bear Complex"" (Power Clean, Front Squat, Push Press, Back Squat, Push Press) at (60/45 kgs).",Barbell (60/45 kgs),Full Body Strength,"Barbell Cycling, Consistent Power",
"""Heavy Squats & Cardio""",Barbell/Weightlifting,5 Rounds For Time,"10 Back Squats ((85/60 kgs)), 200m Row.","Squat Rack, Barbell, Rower","Legs, Posterior Chain, Cardio","Strength Endurance, Power Output",
"""The Triplet""",Barbell/Weightlifting,AMRAP in 18 Minutes,"10 Power Snatches ((45/30 kgs)), 15 GHD Sit-ups, 20 Box Jumps (24/20 in).","Barbell, GHD, Box","Hips, Core, Explosive","Coordination, High-Skill Conditioning",
"""Death By Clean""",EMOM/Pacing,EMOM (Increasing Reps),Minute 1: 1 Clean ((60/45 kgs)). Minute 2: 2 Cleans. Minute 3: 3 Cleans... Continue until unable to complete the required reps in the minute.,Barbell (60/45 kgs),"Power, Anaerobic Capacity",Weightlifting Stamina,
"""Strict Press Ladder""",Barbell/Weightlifting,5 Rounds For Time,"10 Strict Press ((35/25 kgs)), 20 Toes-to-Bar, 30 Double Unders.","Barbell, Pull-up Bar, Jump Rope","Shoulders, Core, Coordination","Upper Body Stamina, Skill Transition",
"""Dumbbell Overhead""",Dumbbell/Kettlebell,3 Rounds For Time,"50 ft Dual Dumbbell Overhead Lunge ((25/15 kgs)), 15 Burpees over Dumbbells, 10 Strict Pull-ups.","2 Dumbbells, Pull-up Bar","Shoulders, Core Stability, Legs","Unilateral Strength, Gymnastic Endurance",
"""Heavy Deadlift Chipper""",Barbell/Weightlifting,For Time (15-12-9 Reps),"Deadlifts ((145/100 kgs)), Ring Muscle-Ups.","Barbell, Rings","Posterior Chain, Upper Body Pulling","Maximal Strength Endurance, Skill",
"""Wall Ball & Carry EMOM""",EMOM/Pacing,EMOM for 21 Minutes,"Minute 1: 20 Wall Balls ((10/5 kgs)). Minute 2: 100 ft Single Arm Farmer's Carry ((30/25 kgs), right arm). Minute 3: 100 ft Single Arm Farmer's Carry ((30/25 kgs), left arm).","Wall Ball, Heavy Kettlebell/DB","Core, Grip, Midline","Midline Stability, Muscular Endurance",
"""The Olympic Complex""",Barbell/Weightlifting,For Time (3 Rounds),"10 Overhead Squats ((50/35 kgs)), 15 Calorie Bike, 20 Ring Dips.","Barbell, Bike, Rings","Full Body, Gymnastics","Technical Stamina, Shoulder Stability",
"""Barbell & Run AMRAP""",AMRAP/Interval,AMRAP in 16 Minutes,"400m Run, 15 Power Cleans ((50/35 kgs)).","Barbell, Running Space","Legs, Hips, Cardio","Aerobic Capacity, Cycling Speed",
"""Interval Builder""",AMRAP/Interval,"6 Rounds, 2 Minutes Work, 1 Minute Rest","Max reps of: 5 Pull-ups, 10 Push-ups, 15 Air Squats. Score is total reps accumulated.",Pull-up Bar,Full Body Muscular Endurance,High Power Output Intervals,
"""Heavy Thruster 10""",EMOM/Pacing,EMOM for 10 Minutes,Complete 5 Thrusters ((50/35 kgs)). Scale weight down if you fail to complete 5 reps unbroken for the minute.,Barbell (50/35 kgs),"Legs, Shoulders, Cardio","Power, Lactate Tolerance",
"""Kettlebell Swing & Burpee""",Dumbbell/Kettlebell,For Time (25-20-15-10-5 Reps),"American Kettlebell Swings (24/16 kg), Burpee Pull-ups.","Kettlebell, Pull-up Bar","Full Body, Hips, Cardio",High-Intensity Stamina,
"""The Benchmark D""",Grind/Endurance,For Time,"50 Box Jumps (24/20 in), 50 Push Presses ((35/25 kgs)), 50 Knees-to-Elbows, 50 Hip Extensions.","Box, Barbell, Pull-up Bar, GHD","Full Body, Core","Grinding Endurance, Consistency",
"""Strict Pull EMOM""",EMOM/Pacing,EMOM for 14 Minutes,Odd Minutes: 5 Strict Toes-to-Bar. Even Minutes: 5 Strict Pull-ups.,Pull-up Bar,"Core, Back, Biceps","Strict Strength, Gymnastic Quality",
"""Heavy Clean & Jerk""",Barbell/Weightlifting,For Time (15-12-9 Reps),"Clean & Jerk ((70/50 kgs)), 200m Run.","Barbell, Running Space","Power, Strength",Weightlifting Pacing,
"""Bodyweight Hero""",Bodyweight/Travel,5 Rounds For Time,"25 Hand Release Push-ups, 50 Walking Lunges, 100 Double Unders.",Jump Rope,"Full Body, Stamina","Muscular Endurance, Coordination",
"""Rope Climb & Row""",Gymnastics/Skill,AMRAP in 13 Minutes,"1 Legless Rope Climb (or 2 standard), 15/12 Calorie Row, 10 Handstand Push-ups.","Rope, Rower, Wall","Upper Body, Cardio, Shoulders","Skill, Power Output",
"""Barbell Conditioning""",AMRAP/Interval,AMRAP in 15 Minutes,"5 Front Squats ((60/45 kgs)), 10 Bar Facing Burpees, 15 Wall Balls ((10/5 kgs)).","Barbell, Wall Ball","Legs, Cardio, Hips","Density, Conditioning",
"""Long Steady Distance""",Monostructural/Cardio,For Time (3 Rounds),"1000m Row, 50 Air Squats, 25 Strict Press ((35/25 kgs)).","Rower, Barbell","Full Body, Stamina","Aerobic Capacity, Pacing",
"""Bike & Burpee Ladder""",Monostructural/Cardio,For Time (Ladder 10-20-30-40),"10 Calorie Bike, 10 Burpees; 20 Calorie Bike, 20 Burpees; 30 Calorie Bike, 30 Burpees; 40 Calorie Bike, 40 Burpees.",Bike,"Cardio, Legs, Hips","High Volume, Mental Toughness",
"""Odd Object Carry EMOM""",Dumbbell/Kettlebell,EMOM for 20 Minutes,Odd Minutes: 100 ft Sandbag/Atlas Stone Carry (Heavy). Even Minutes: 15 Kettlebell Swings (24/16 kg).,"Heavy Bag/Stone, Kettlebell","Core, Grip, Posterior Chain","Strength Stamina, Midline Stability",
"""Ski-Erg Intervals""",Monostructural/Cardio,"10 Rounds, 1 Minute Work, 1 Minute Rest",Max Calorie Ski. Score is total calories accumulated over 10 working minutes.,Ski Erg,"Upper Body, Core, Cardio","Anaerobic Power, Sustainable Pace",
"""High-Volume Wall Balls""",Grind/Endurance,For Time (100-80-60-40-20 Reps),"Wall Balls ((10/5 kgs)) in the first round. Every round, perform 10 Pull-ups and 10 Push-ups.","Wall Ball, Pull-up Bar","Legs, Shoulders, Gymnastics","Muscular Endurance, Volume Tolerance",
"""Heavy Double Dumbbell""",Dumbbell/Kettlebell,5 Rounds For Time,"10 Dual Dumbbell Snatches ((25/15 kgs)), 15 Alternating V-ups.",2 Dumbbells,"Hips, Shoulders, Core","Power, Midline Strength",
"""Grip Destroyer AMRAP""",Gymnastics/Skill,AMRAP in 15 Minutes,"10 Kettlebell Cleans (24/16 kg, 5 per arm), 10 Toes-to-Bar, 100 ft Handstand Walk (or 5 Wall Walks).","Kettlebell, Pull-up Bar, Wall","Grip, Core, Shoulders","Skill, Grip Endurance",
"""Barbell and Rope""",EMOM/Pacing,EMOM for 16 Minutes,Odd Minutes: 12 Deadlifts ((70/50 kgs)). Even Minutes: 50 Double-Unders.,"Barbell, Jump Rope","Posterior Chain, Cardio","Pacing, Technical Consistency",
"""The Long Cardio Chipper""",Grind/Endurance,For Time (50-40-30-20-10 Reps),"Box Jumps, Calorie Row (20-16-12-8-4 Cal), Kettlebell Swings (24/16 kg).","Box, Rower, Kettlebell","Legs, Hips, Cardio","Pacing, Endurance",
"""Overhead Stamina""",Barbell/Weightlifting,AMRAP in 12 Minutes,"8 Overhead Squats ((45/30 kgs)), 8 Bar Facing Burpees.",Barbell (45/30 kgs),"Shoulders, Core Stability, Hips","Mobility, Speed",
"""Interval Mix""",EMOM/Pacing,EMOM for 27 Minutes,Minute 1: 15/12 Calorie Bike. Minute 2: 10 Clean & Jerks ((45/30 kgs)). Minute 3: 10 Strict Push-ups. (Repeat 9 times),"Bike, Barbell","Full Body, Anaerobic","Pacing, High Volume",
"""Running & Air Squat""",Monostructural/Cardio,For Time (5 Rounds),"800m Run, 50 Air Squats.",Running Space,"Legs, Cardio","Aerobic Endurance, High Volume Legs",
"""Gymnastic Skill AMRAP""",Gymnastics/Skill,AMRAP in 14 Minutes,"3 Ring Muscle-Ups, 6 Squat Snatches ((45/30 kgs)), 9 Chest-to-Bar Pull-ups.","Rings, Barbell, Pull-up Bar","Skill, Coordination, Pulling",Gymnastic Pacing,
"""Assault Bike EMOM""",EMOM/Pacing,EMOM for 15 Minutes,"Complete 15/12 Calorie Bike. If the task is completed early, rest for the remainder of the minute.",Bike,Cardiovascular System,High Power Output,
"""Rope Climb & Kettlebell""",Gymnastics/Skill,3 Rounds For Time,"3 Rope Climbs (15 ft), 21 Kettlebell Snatches (24/16 kg, alternating).","Rope, Kettlebell","Upper Body Pulling, Hips","Strength Skill, Power Endurance",
"""The Half Chipper""",Grind/Endurance,For Time (50 Reps Each),"50 Thrusters ((35/25 kgs)), 50 Toes-to-Bar, 50 GHD Sit-ups, 50 Double Unders.","Barbell, Pull-up Bar, GHD, Jump Rope","Full Body, Grinding Pace","Stamina, Midline Endurance",
"""Tempo Squat EMOM""",EMOM/Pacing,EMOM for 12 Minutes,5 Back Squats ((60/45 kgs)) with a 3-second descent (Tempo 30X0).,"Barbell, Squat Rack","Strength, Time Under Tension","Muscular Hypertrophy, Technique",
"""Dumbbell & Run""",Dumbbell/Kettlebell,AMRAP in 17 Minutes,"400m Run, 10 Dumbbell Overhead Lunges ((25/15 kgs), alternating legs), 10 Dumbbell Hang Power Cleans.","Dumbbell, Running Space","Legs, Shoulders, Cardio","Consistency, Locomotor Skill",
"""Heavy Clean & Front Squat""",Barbell/Weightlifting,5 Rounds For Time,"5 Squat Cleans ((85/60 kgs)), 10 Front Squats ((85/60 kgs)).",Barbell (85/60 kgs),"Legs, Hips, Core","Strength Endurance, Lactate Tolerance",
"""Hotel Hell""",Bodyweight/Travel,For Time (10 Rounds),"10 Push-ups, 10 Sit-ups, 10 Air Squats.",None (Bodyweight),Full Body,"Muscular Endurance, Consistency",
"""Airport AMRAP""",Bodyweight/Travel,AMRAP in 25 Minutes,"5 Burpees, 10 V-Ups, 15 Box Jumps (or Step-ups onto bench/sturdy chair).",None (Bodyweight),"Full Body, Cardio","Stamina, High Volume",
"""Jump Rope Grinder""",Bodyweight/Travel,For Time (3 Rounds),"300 Single Unders (or 100 Double Unders), 50 Walking Lunges, 25 Hand Release Push-ups.",Jump Rope,"Legs, Cardio, Chest","Aerobic Capacity, Coordination",
"""One Dumbbell Travel""",Dumbbell/Kettlebell,EMOM for 15 Minutes,Odd Minutes: 10 Single-Arm Dumbbell Snatches (5 per arm). Even Minutes: 10 Dumbbell Goblet Squats.,Single Dumbbell (Medium),"Full Body, Power","Unilateral Strength, Pacing",
"""Staircase Sprint""",Bodyweight/Travel,10 Rounds For Time,"Sprint up two flights of stairs, 15 Push-ups.",Staircase,"Legs, Cardio, Chest","Anaerobic Power, Speed",
"""Cindy's Cousin""",Bodyweight/Travel,AMRAP in 20 Minutes,"5 Pike Push-ups, 10 Alternating Pistol Squats (or Assisted), 15 Box Dips (on sturdy surface).",None (Bodyweight),"Shoulders, Legs, Triceps","Strength Endurance, Skill",
"""Travel Chipper""",Bodyweight/Travel,For Time (75-50-25 Reps),"Burpees, Air Squats.",None (Bodyweight),"Full Body, Cardio","Mental Toughness, High Rep Volume",
"""Kettlebell Kitchen""",Dumbbell/Kettlebell,3 Rounds For Time,"20 Kettlebell Swings (medium weight), 15 Kettlebell Thrusters, 10 Kettlebell Sumo Deadlift High Pulls.",Single Kettlebell,"Hips, Shoulders, Core",Power Endurance,
"""EMOM of Abs""",EMOM/Pacing,EMOM for 18 Minutes,Minute 1: 20 AbMat Sit-ups. Minute 2: 15 Second Plank Hold. Minute 3: 10 Toes-to-Bar (or Straight Leg Raises).,"Mat, Pull-up Bar (optional)",Core Strength,"Midline Stability, Consistency",
"""The Endurance Test""",Monostructural/Cardio,For Time,"5K Run. Every 5 minutes, stop and perform 15 Burpees.",Running Space,"Cardiovascular, Stamina","Aerobic Capacity, Discipline",
"""The Skill Builder""",Gymnastics/Skill,AMRAP in 10 Minutes,"5 Wall Walks, 10 Strict Press ((35/25 kgs)), 15 V-Ups.","Wall, Barbell","Shoulders, Core, Gymnastics",Technical Stamina,
"""Double Under Challenge""",Barbell/Weightlifting,For Time (5 Rounds),"10 Squat Cleans ((45/30 kgs)), 100 Double Unders.","Barbell, Jump Rope","Hips, Cardio, Coordination","Cycling Speed, Skill Under Fatigue",
"""Partner Run""",Monostructural/Cardio,For Time (Shared Distance),"Accumulate 5K Run. Partner A runs, Partner B holds a Plank. Switch when Partner A returns.",Running Space,"Cardio, Core","Teamwork, Endurance",
"""Heavy Finisher""",Barbell/Weightlifting,"5 Rounds, Not For Time (Focus on Quality)","5 Deadlifts (80% 1RM), 10 Handstand Push-ups (or Pike Push-ups).","Heavy Barbell, Wall","Maximal Strength, Gymnastics",Strength Development,
"""Rower/Bike Ladder""",Monostructural/Cardio,For Time (10-20-30-40-50 Reps),"Kettlebell Swings (24/16 kg), with 10/8 Calorie Row or Bike after each set.","Kettlebell, Rower/Bike","Hips, Cardio","Density, Pacing Strategy",
"""The Ghost""",AMRAP/Interval,"6 Rounds, 1 Minute per Station","Row (Calories), Burpees, Double Unders. 1 minute rest between rounds. Score is total reps/calories.","Rower, Jump Rope","Full Body, High Output","Muscular Endurance, Lactic Acid Tolerance",
"""Gymnastic Endurance""",Gymnastics/Skill,For Time (21-15-9 Reps),"Ring Dips, Toes-to-Bar, GHD Sit-ups.","Rings, Pull-up Bar, GHD","Upper Body, Core","Gymnastic Stamina, Midline Strength",
"""Unilateral Thruster""",Dumbbell/Kettlebell,AMRAP in 16 Minutes,"10 Single-Arm Dumbbell Thrusters (5 per arm, (25/15 kgs)), 10 Box Step-overs, 10 Push-ups.","Single Dumbbell, Box","Full Body, Stability","Unilateral Strength, Cardio",
"""Barbell 100""",Barbell/Weightlifting,For Time (100 Reps Total),"10 Hang Power Cleans, 10 Front Squats (Repeat 5 times at (60/45 kgs)).",Barbell (60/45 kgs),"Hips, Legs, Core","Strength Endurance, Barbell Cycling",
"""The Centurion""",Bodyweight/Travel,For Time (10 Rounds),"10 Burpees, 10 Walking Lunges (per leg), 10 Air Squats, 10 Sit-ups.",None (Bodyweight),"Full Body, High Volume","Mental Toughness, Final Test of Will",
"""Annie""",Benchmark (Girl/Classic),For Time (Typically 5-10 minutes),Complete 50-40-30-20-10 reps of Double Unders and Sit-ups.,"Jump Rope (for Double Unders), Mat","Core, Cardiovascular System, Hips","Coordination, Speed, Stamina",
"""Diane""",Benchmark (Girl/Classic),21-15-9 Reps For Time (Typically 4-8 minutes),Deadlifts ((100/70 kgs)) and Handstand Push-ups.,"Barbell (100/70 kgs), Wall","Posterior Chain, Shoulders, Triceps","Strength Endurance, Gymnastic Stamina",
"""Elizabeth""",Benchmark (Girl/Classic),21-15-9 Reps For Time (Typically 5-10 minutes),Cleans ((60/45 kgs)) and Ring Dips.,"Barbell (60/45 kgs), Rings","Full Body, Gymnastics","Power, Explosive Strength, Upper Body Endurance",
"""Filthy 50""",Benchmark (Girl/Classic),For Time (50 Reps Each),"50 Box Jumps (24/20 in), 50 Jumping Pull-ups, 50 Kettlebell Swings ((15/10 kgs)), 50 Walking Lunges (per leg), 50 Knees-to-Elbows, 50 Push Presses ((20/15 kgs)), 50 Back Extensions, 50 Wall Balls ((10/5 kgs)), 50 Burpees, 50 Double Unders.",Various,"Full Body, High Volume","Stamina, Volume Tolerance, Pacing",
"""Murph""",Hero WOD,For Time (With 20/14 lb Vest optional),"1 Mile Run, 100 Pull-ups, 200 Push-ups, 300 Air Squats, 1 Mile Run.","Pull-up Bar, Weight Vest (Optional)","Full Body, Stamina, Cardio","Muscular Endurance, Mental Toughness",
"""Severin""",Hero WOD,For Time,"5 Rounds of: 50 Air Squats, 40 Sit-ups, 30 Double Unders, 20 Pull-ups, 10 Single-Arm Dumbbell Snatches ((25/15 kgs), 5 per arm).","Dumbbell, Pull-up Bar, Jump Rope","Full Body, High Volume","Conditioning, Muscular Endurance",
"""Chad""",Hero WOD,For Time (With 45/35 lb Pack/Vest),1000 Box Step-ups (20 in).,"Box (20 in), Weight Vest (Optional)","Legs, Cardio, Hips","Stamina, Volume Tolerance",
"""Danny""",Hero WOD,3 Rounds For Time,"30 Box Jumps (24/20 in), 20 Push Presses ((50/35 kgs)), 30 GHD Sit-ups, 20 Pull-ups.","Box, Barbell, GHD Machine, Pull-up Bar","Full Body, High Intensity","Stamina, Power Endurance",
"""Randy""",Hero WOD,For Time,75 Power Snatches ((35/25 kgs)).,Barbell (35/25 kgs),"Hips, Shoulders, Power","Barbell Cycling, Anaerobic Capacity",
