Name,Category,Format & Duration,Instructions,Equipment Needed,Training Goals,Scaling Options,Movement Types,Target Stimulus,Score Type,Level,Environment,Coach Notes,Stimulus,Description,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Flavor-Text,WorkoutID,DifficultyTier,Instructions_Clean
Bodyweight 30,Bodyweight/travel,AMRAP 30,"100 single unders, 20 Sit-ups, 10 walking lunges (per leg). for time",Jump Rope,"Stamina, High Volume","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Long aerobic gymnastics endurance.,Rounds,Intermediate,Gym,Move continuously; avoid red-lining; break push-ups early.,Aerobic/Mixed (Long AMRAP),No description available,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""50 Single Unders, 10 Sit-ups, 5 Walking Lunges (per leg). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""100 Single Unders, 20 Sit-ups, 10 Walking Lunges (per leg). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""100 Single Unders, 20 Sit-ups, 10 Walking Lunges (per leg). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""100 Single Unders, 20 Sit-ups, 10 Walking Lunges (per leg). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Bodyweight 30 - Expect sharp efforts and quick transitions; small mistakes add up.,28,Intermediate,"100 single unders, 20 sit-ups, 10 walking lunges (per leg). complete the following for time"
The Push/pull EMOM,Gymnastics/skill,EMOM 20,odd minutes: max ring dips. even minutes: max toes-to-bar. for time,"Rings, Pull-up Bar",Gymnastic Stamina,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,General,Rounds/Load,Intermediate,Gym,"Web search performed for The Push/pull EMOM. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Interval Power / Strength-Endurance,Web search performed for The Push/pull EMOM. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 21, ""Intermediate_rounds"": 16, ""Beginner_rounds"": 10, ""Minutes"": 20}",4m 30s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",The Push/Pull EMOM - A interval power / strength-endurance challenge that demands focus and grit.,29,Advanced,Odd minutes: max ring dips. even minutes: max toes-to-bar. complete the following for time
Overhead Carry AMRAP,Dumbbell/kettlebell,AMRAP 16,"50 ft single-arm overhead dumbbell carry (right arm, (25/15 kgs), 10 burpees, 50 ft single-arm overhead dumbbell carry (left arm), 10 Sit-ups.",Dumbbell,"Midline Strength, Unilateral Stability","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,General,Rounds,Intermediate,Gym,"Web search performed for Overhead Carry AMRAP. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Aerobic/Mixed (Long AMRAP),Web search performed for Overhead Carry AMRAP. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 12, ""Intermediate_rounds"": 9, ""Beginner_rounds"": 6, ""Minutes"": 12}",6m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""25 ft Single-Arm Overhead Dumbbell Carry (right arm, (12/7 kgs), 5 Burpees, 25 ft Single-Arm Overhead Dumbbell Carry (left arm), 5 Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50 ft Single-Arm Overhead Dumbbell Carry (right arm, (25/15 kgs), 10 Burpees, 50 ft Single-Arm Overhead Dumbbell Carry (left arm), 10 Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50 ft Single-Arm Overhead Dumbbell Carry (right arm, (25/15 kgs), 10 Burpees, 50 ft Single-Arm Overhead Dumbbell Carry (left arm), 10 Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50 ft Single-Arm Overhead Dumbbell Carry (right arm, (25/15 kgs), 10 Burpees, 50 ft Single-Arm Overhead Dumbbell Carry (left arm), 10 Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Overhead Carry AMRAP - Expect sharp efforts and quick transitions; small mistakes add up.,30,Elite,"50 ft single-arm overhead dumbbell carry (right arm, (25/15 kgs), 10 burpees, 50 ft single-arm overhead dumbbell carry (left arm), 10 sit-ups."
EMOM Of Thrusters,Emom/pacing,EMOM 10,complete 6 thrusters (45/30 kgs). rest with any remaining time.,Barbell (45/30 kgs),"Anaerobic Power, Pacing","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,General,Rounds/Load,Intermediate,Gym,"Web search performed for EMOM Of Thrusters. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Interval Power / Strength-Endurance,Web search performed for EMOM Of Thrusters. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",Time varies by athlete,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""Complete 3 Thrusters (22/15 kgs). Rest with any remaining time. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 6 Thrusters (45/30 kgs). Rest with any remaining time. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 6 Thrusters (45/30 kgs). Rest with any remaining time. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 6 Thrusters (45/30 kgs). Rest with any remaining time. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",EMOM of Thrusters - Brutal but fair; pace wisely and prioritize technique.,31,Intermediate,Complete 6 thrusters (45/30 kgs). rest with any remaining time.
Rowing Pyramid AMRAP,Amrap/interval,AMRAP 17,"5 Pull-ups, 10 Push-ups, 15 squats. after each round, row 100m before starting the next round.","Pull-up Bar, Rower","Muscular Endurance, Aerobic Transition","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",General,Rounds,Intermediate,Gym,"Web search performed for Rowing Pyramid AMRAP. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Aerobic/Mixed (Long AMRAP),Web search performed for Rowing Pyramid AMRAP. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 12, ""Intermediate_rounds"": 9, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""2 Pull-ups, 5 Push-ups, 7 Squats. After each round, row 50m before starting the next round. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5 Pull-ups, 10 Push-ups, 15 Squats. After each round, row 100m before starting the next round. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5 Pull-ups, 10 Push-ups, 15 Squats. After each round, row 100m before starting the next round. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5 Pull-ups, 10 Push-ups, 15 Squats. After each round, row 100m before starting the next round. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Rowing Pyramid AMRAP - Brutal but fair; pace wisely and prioritize technique.,32,Advanced,"5 pull-ups, 10 push-ups, 15 squats. after each round, row 100m before starting the next round."
Snatch Cycle AMRAP,Barbell/weightlifting,AMRAP 12,"6 power snatches (35/25 kgs), 12 box jumps (24/20 in), 18 Kettlebell swings (24/16 kg).","Barbell, Box, Kettlebell","Explosive Speed, Consistency","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",General,Rounds,Intermediate,Gym,"Web search performed for Snatch Cycle AMRAP. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Anaerobic/Mixed (AMRAP Intensity),Web search performed for Snatch Cycle AMRAP. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""3 Power Snatches (17/12 kgs), 6 Box Jumps (12/10 in), 9 Kettlebell Swings (12/8 kg). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""6 Power Snatches (35/25 kgs), 12 Box Jumps (24/20 in), 18 Kettlebell Swings (24/16 kg). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""6 Power Snatches (35/25 kgs), 12 Box Jumps (24/20 in), 18 Kettlebell Swings (24/16 kg). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""6 Power Snatches (35/25 kgs), 12 Box Jumps (24/20 in), 18 Kettlebell Swings (24/16 kg). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Snatch Cycle AMRAP - A anaerobic/mixed (amrap intensity) challenge that demands focus and grit.,33,Intermediate,"6 power snatches (35/25 kgs), 12 box jumps (24/20 in), 18 kettlebell swings (24/16 kg)."
Partner AMRAP (alt Rounds),Amrap/interval,AMRAP 24,"partner a completes a full round of: 15 wall balls, 10 calorie row. partner b rests. partners alternate rounds.","Wall Ball, Rower","Teamwork, Consistent Output","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",General,Rounds,Intermediate,Gym,"Web search performed for Partner AMRAP (alt Rounds). For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Aerobic/Mixed (Long AMRAP),Web search performed for Partner AMRAP (alt Rounds). This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""Partner A completes a full round of: 7 Wall Balls, 5 Calorie Row. Partner B rests. Partners alternate rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Partner A completes a full round of: 15 Wall Balls, 10 Calorie Row. Partner B rests. Partners alternate rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Partner A completes a full round of: 15 Wall Balls, 10 Calorie Row. Partner B rests. Partners alternate rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Partner A completes a full round of: 15 Wall Balls, 10 Calorie Row. Partner B rests. Partners alternate rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Partner AMRAP (Alt Rounds) - Brutal but fair; pace wisely and prioritize technique.,34,Intermediate,"Partner a completes a full round of: 15 wall balls, 10 calorie row. partner b rests. partners alternate rounds."
Heavy Dumbbell EMOM,Dumbbell/kettlebell,EMOM 15,minutes 1-5: 5 dumbbell cleans (30/25 kgs). minutes 6-10: 5 dumbbell shoulder-to-overhead. minutes 11-15: 5 dumbbell squats (holding dbs).,2 Heavy Dumbbells,Strength Endurance,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,General,Rounds/Load,Intermediate,Gym,"Web search performed for Heavy Dumbbell EMOM. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Interval Power / Strength-Endurance,Web search performed for Heavy Dumbbell EMOM. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",6m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Minutes 1-2: 2 Dumbbell Cleans (15/12 kgs). Minutes 3-5: 2 Dumbbell Shoulder-to-Overhead. Minutes 5-7: 2 Dumbbell Squats (holding DBs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Minutes 1-5: 5 Dumbbell Cleans (30/25 kgs). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Minutes 1-5: 5 Dumbbell Cleans (30/25 kgs). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Minutes 1-5: 5 Dumbbell Cleans (30/25 kgs). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Heavy Dumbbell EMOM - A interval power / strength-endurance challenge that demands focus and grit.,35,Intermediate,Minutes 1-5: 5 dumbbell cleans (30/25 kgs). minutes 6-10: 5 dumbbell shoulder-to-overhead. minutes 11-15: 5 dumbbell squats (holding dbs).
Gymnastics Chipper AMRAP,Gymnastics/skill,AMRAP 15,"10 chest-to-bar Pull-ups, 15 hand release Push-ups, 20 abmat Sit-ups.","Pull-up Bar, Mat",Gymnastic Stamina,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,General,Rounds,Intermediate,Gym,"Web search performed for Gymnastics Chipper AMRAP. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Aerobic/Mixed (Long AMRAP),Web search performed for Gymnastics Chipper AMRAP. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",4m 30s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""5 Chest-to-Bar Pull-ups, 7 Hand Release Push-ups, 10 AbMat Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Chest-to-Bar Pull-ups, 15 Hand Release Push-ups, 20 AbMat Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Chest-to-Bar Pull-ups, 15 Hand Release Push-ups, 20 AbMat Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Chest-to-Bar Pull-ups, 15 Hand Release Push-ups, 20 AbMat Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Gymnastics Chipper AMRAP - A aerobic/mixed (long amrap) challenge that demands focus and grit.,36,Intermediate,"10 chest-to-bar pull-ups, 15 hand release push-ups, 20 abmat sit-ups."
Double-under EMOM,Emom/pacing,EMOM 18,minute 1: 50 double-unders. minute 2: 10 v-ups. minute 3: 5 clean & jerks (60/45 kgs).,"Jump Rope, Barbell","Pacing, Technical Consistency","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",General,Rounds/Load,Intermediate,Gym,"Web search performed for Double-under EMOM. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Interval Power / Strength-Endurance,Web search performed for Double-under EMOM. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",Time varies by athlete,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Minute 1: 25 Double-Unders. Minute 1: 5 V-Ups. Minute 1: 2 Clean & Jerks (30/22 kgs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Minute 1: 50 Double-Unders. Minute 2: 10 V-Ups. Minute 3: 5 Clean & Jerks (60/45 kgs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Minute 1: 50 Double-Unders. Minute 2: 10 V-Ups. Minute 3: 5 Clean & Jerks (60/45 kgs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Minute 1: 50 Double-Unders. Minute 2: 10 V-Ups. Minute 3: 5 Clean & Jerks (60/45 kgs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Double-Under EMOM - A interval power / strength-endurance challenge that demands focus and grit.,37,Intermediate,Minute 1: 50 double-unders. minute 2: 10 v-ups. minute 3: 5 clean & jerks (60/45 kgs).
3 Rounds Of AMRAP,Amrap/interval,"3 Rounds: 4 Minutes AMRAP, 1 Minute Rest","10 push press (45/30 kgs), 10 toes-to-bar. score is total reps across all 3 working rounds.","Barbell, Pull-up Bar","Anaerobic Power, Recovery","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,General,Rounds,Intermediate,Gym,"Web search performed for 3 Rounds Of AMRAP. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Aerobic/Mixed (Long AMRAP),Web search performed for 3 Rounds Of AMRAP. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""5 Push Press (22/15 kgs), 5 Toes-to-Bar. Score is total reps across all 1 working rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Push Press (45/30 kgs), 10 Toes-to-Bar. Score is total reps across all 3 working rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Push Press (45/30 kgs), 10 Toes-to-Bar. Score is total reps across all 3 working rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Push Press (45/30 kgs), 10 Toes-to-Bar. Score is total reps across all 3 working rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",3 Rounds of AMRAP - A aerobic/mixed (long amrap) challenge that demands focus and grit.,38,Intermediate,"10 push press (45/30 kgs), 10 toes-to-bar. score is total repetitions across all 3 working rounds."
Bike & Box EMOM,Emom/pacing,EMOM 16,odd minutes: 12/9 calorie bike. even minutes: 8 box jumps (30/24 in).,"Bike, High Box",High Power Output,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",General,Rounds/Load,Intermediate,Gym,"Web search performed for Bike & Box EMOM. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Interval Power / Strength-Endurance,Web search performed for Bike & Box EMOM. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",Time varies by athlete,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd Minutes: 6/4 Calorie Bike. Even Minutes: 4 Box Jumps (15/12 in). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd Minutes: 12/9 Calorie Bike. Even Minutes: 8 Box Jumps (30/24 in). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd Minutes: 12/9 Calorie Bike. Even Minutes: 8 Box Jumps (30/24 in). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd Minutes: 12/9 Calorie Bike. Even Minutes: 8 Box Jumps (30/24 in). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Bike & Box EMOM - Brutal but fair; pace wisely and prioritize technique.,39,Intermediate,Odd minutes: 12/9 calorie bike. even minutes: 8 box jumps (30/24 in).
Kettlebell Swing AMRAP,Dumbbell/kettlebell,AMRAP 10,"10 russian Kettlebell swings (32/24 kg), 10 burpees.",Heavy Kettlebell,Explosive Strength Endurance,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",General,Rounds,Intermediate,Gym,"Web search performed for Kettlebell Swing AMRAP. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Anaerobic/Mixed (AMRAP Intensity),Web search performed for Kettlebell Swing AMRAP. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",6m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""5 Russian Kettlebell Swings (16/12 kg), 5 Burpees. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Russian Kettlebell Swings (32/24 kg), 10 Burpees. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Russian Kettlebell Swings (32/24 kg), 10 Burpees. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Russian Kettlebell Swings (32/24 kg), 10 Burpees. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Kettlebell Swing AMRAP - A anaerobic/mixed (amrap intensity) challenge that demands focus and grit.,40,Intermediate,"10 russian kettlebell swings (32/24 kg), 10 burpees."
Bodyweight Intervals,Bodyweight/travel,AMRAP 3,"5 burpees, 10 Push-ups, 15 squats. score is total rounds/reps completed.",None (Bodyweight),"Pacing, High-Intensity Intervals","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Long aerobic gymnastics endurance.,Rounds,Intermediate,Gym,Move continuously; avoid red-lining; break push-ups early.,Aerobic/Mixed (Long AMRAP),No description available,"{""RX_rounds"": 3, ""Intermediate_rounds"": 2, ""Beginner_rounds"": 1, ""Minutes"": 3}",5m 0s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""2 Burpees, 5 Push-ups, 7 Squats. Score is total rounds/reps completed. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5 Burpees, 10 Push-ups, 15 Squats. Score is total rounds/reps completed. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5 Burpees, 10 Push-ups, 15 Squats. Score is total rounds/reps completed. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5 Burpees, 10 Push-ups, 15 Squats. Score is total rounds/reps completed. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Bodyweight Intervals - Expect sharp efforts and quick transitions; small mistakes add up.,41,Intermediate,"5 burpees, 10 push-ups, 15 squats. score is total rounds/repetitions completed."
Bar Muscle-up EMOM,Gymnastics/skill,EMOM 12,"complete 1-3 bar muscle-ups. if you fail a rep or cannot complete the required reps, switch to 5 Pull-ups for that minute.",Pull-up Bar,"Skill Practice, Efficiency","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,General,Rounds/Load,Intermediate,Gym,"Web search performed for Bar Muscle-up EMOM. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Interval Power / Strength-Endurance,Web search performed for Bar Muscle-up EMOM. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",4m 30s,"5-10 min general cardio (row/jog/bike); Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""Complete 1-1 Bar Muscle-Ups. If you fail a rep or cannot complete the required reps, switch to 2 Pull-ups for that minute. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 1-3 Bar Muscle-Ups. If you fail a rep or cannot complete the required reps, switch to 5 Pull-ups for that minute. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 1-3 Bar Muscle-Ups. If you fail a rep or cannot complete the required reps, switch to 5 Pull-ups for that minute. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 1-3 Bar Muscle-Ups. If you fail a rep or cannot complete the required reps, switch to 5 Pull-ups for that minute. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Bar Muscle-Up EMOM - Brutal but fair; pace wisely and prioritize technique.,42,Beginner,"Complete 1-3 bar muscle-ups. if you fail a rep or cannot complete the required repetitions, switch to 5 pull-ups for that minute."
