Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Unnamed: 7,Unnamed: 8,Time Domain,Scaling Options,Movement Types,Workout Complexity,Target Stimulus,RX Standards,Score Type,Level,Environment,Equipment Alternatives,Energy System,Coach Notes,Movement Count,Primary Category,Difficulty Score,Movement Patterns,Stimulus,Structure Type,Description,Movement-Level-Metadata,Difficulty-Score-Computed,Difficulty-Label,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Demo-Search-Queries,Training-Adaptation-Tags,Equipment-Footprint,Flavor-Text
The Skill Builder,Gymnastics/Skill,AMRAP in 10 Minutes,"5 Wall Walks, 10 Strict Press ((35/25 kgs)), 15 V-Ups.","Wall, Barbell","Shoulders, Core, Gymnastics",Technical Stamina,,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",General,Moderate,,35/25kg,Rounds,Intermediate,Gym,Substitute with available equipment.,Anaerobic Glycolytic (Short High Power),,3,Mixed,4,Push,Anaerobic/Mixed (AMRAP Intensity),Standard,,"[{""movement"": ""5 Wall Walks"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall, Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""10 Strict Press ((35"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""Push"", ""equipment"": ""Wall, Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""25 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall, Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""15 V-Ups."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall, Barbell"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""2 Wall Walks, 5 Strict Press ((17/12 kgs)), 7 V-Ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5 Wall Walks, 10 Strict Press ((35/25 kgs)), 15 V-Ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5 Wall Walks, 10 Strict Press ((35/25 kgs)), 15 V-Ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5 Wall Walks, 10 Strict Press ((35/25 kgs)), 15 V-Ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""The Skill Builder workout demo 5 Wall Walks"", ""CF Library Search"": ""The Skill Builder workout demo 5 Wall Walks CrossFit movement demo""}",Aerobic Endurance,Moderate,The Skill Builder - Brutal but fair; pace wisely and prioritize technique.
Double Under Challenge,Barbell/Weightlifting,For Time (5 Rounds),"10 Squat Cleans ((45/30 kgs)), 100 Double Unders.","Barbell, Jump Rope","Hips, Cardio, Coordination","Cycling Speed, Skill Under Fatigue",,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",Simple,,45/30kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Weightlifting,3,"Hinge, Squat",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Clean"", ""reps"": ""10 45"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""30 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Jump Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""Double Under"", ""reps"": ""100"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Jump Rope"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""5 Squat Cleans ((22/15 kgs)), 50 Double Unders. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Squat Cleans ((45/30 kgs)), 100 Double Unders. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Squat Cleans ((45/30 kgs)), 100 Double Unders. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Squat Cleans ((45/30 kgs)), 100 Double Unders. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Double Under Challenge workout demo 10 Squat Cleans ((45/30 kgs))"", ""CF Library Search"": ""Double Under Challenge workout demo 10 Squat Cleans ((45/30 kgs)) CrossFit movement demo""}",Lactate Threshold / Conditioning,Moderate,Double Under Challenge - Expect sharp efforts and quick transitions; small mistakes add up.
Partner Run,Monostructural/Cardio,For Time (Shared Distance),"Accumulate 5K Run. Partner A runs, Partner B holds a Plank. Switch when Partner A returns.",Running Space,"Cardio, Core","Teamwork, Endurance",,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Monostructural,Simple,,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Monostructural,3,General,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Run"", ""reps"": ""5"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Accumulate 2K Run. Partner A runs, Partner B holds a Plank. Switch when Partner A returns. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Accumulate 5K Run. Partner A runs, Partner B holds a Plank. Switch when Partner A returns. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Accumulate 5K Run. Partner A runs, Partner B holds a Plank. Switch when Partner A returns. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Accumulate 5K Run. Partner A runs, Partner B holds a Plank. Switch when Partner A returns. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Partner Run workout demo Accumulate 5K Run. Partner A runs"", ""CF Library Search"": ""Partner Run workout demo Accumulate 5K Run. Partner A runs CrossFit movement demo""}",Lactate Threshold / Conditioning,Minimal,Partner Run - Expect sharp efforts and quick transitions; small mistakes add up.
Heavy Finisher,Barbell/Weightlifting,"5 Rounds, Not For Time (Focus on Quality)","5 Deadlifts (80% 1RM), 10 Handstand Push-ups (or Pike Push-ups).","Heavy Barbell, Wall","Maximal Strength, Gymnastics",Strength Development,,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Simple,,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Weightlifting,3,"Hinge, Push",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Deadlift"", ""reps"": ""5 80 1"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Handstand Push-Up"", ""reps"": ""10"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""None (bodyweight)"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""2 Deadlifts (40% 1RM), 5 Handstand Push-ups (or Pike Push-ups). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5 Deadlifts (80% 1RM), 10 Handstand Push-ups (or Pike Push-ups). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5 Deadlifts (80% 1RM), 10 Handstand Push-ups (or Pike Push-ups). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5 Deadlifts (80% 1RM), 10 Handstand Push-ups (or Pike Push-ups). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Heavy Finisher workout demo 5 Deadlifts (80% 1RM)"", ""CF Library Search"": ""Heavy Finisher workout demo 5 Deadlifts (80% 1RM) CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Moderate,Heavy Finisher - A for time - high intensity pacing challenge that demands focus and grit.
Rower/Bike Ladder,Monostructural/Cardio,For Time (10-20-30-40-50 Reps),"Kettlebell Swings (24/16 kg), with 10/8 Calorie Row or Bike after each set.","Kettlebell, Rower/Bike","Hips, Cardio","Density, Pacing Strategy",,,Long,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",Simple,,24/16kg,Time,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),,2,Weightlifting,5,"Hinge, Pull",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Kettlebell Swing"", ""reps"": ""24"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""16 Kg)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Kettlebell, Rower/Bike"", ""skill_level"": ""Intermediate""}, {""movement"": ""With 10"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Kettlebell, Rower/Bike"", ""skill_level"": ""Intermediate""}, {""movement"": ""Row"", ""reps"": ""8"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",9,Elite,"{""RX"": 420, ""Intermediate"": 588, ""Beginner"": 840}",7m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""Kettlebell Swings (12/8 kg), with 5/4 Calorie Row or Bike after each set. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Kettlebell Swings (24/16 kg), with 10/8 Calorie Row or Bike after each set. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Kettlebell Swings (24/16 kg), with 10/8 Calorie Row or Bike after each set. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Kettlebell Swings (24/16 kg), with 10/8 Calorie Row or Bike after each set. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Rower/Bike Ladder workout demo Kettlebell Swings (24/16 kg)"", ""CF Library Search"": ""Rower/Bike Ladder workout demo Kettlebell Swings (24/16 kg) CrossFit movement demo""}","Aerobic Endurance, Lactate Threshold / Conditioning",Moderate,Rower/Bike Ladder - Brutal but fair; pace wisely and prioritize technique.
The Ghost,AMRAP/Interval,"6 Rounds, 1 Minute per Station","Row (Calories), Burpees, Double Unders. 1 minute rest between rounds. Score is total reps/calories.","Rower, Jump Rope","Full Body, High Output","Muscular Endurance, Lactic Acid Tolerance",,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",Moderate,,Bodyweight or unspecified,Time/Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed,,3,Gymnastics,4,Pull,General Conditioning (Mixed Stimulus),Standard,,"[{""movement"": ""Row"", ""reps"": """", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Burpee"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Rower, Jump Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""Double Under"", ""reps"": ""1"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Rower, Jump Rope"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Row (Calories), Burpees, Double Unders. 1 minute rest between rounds. Score is total reps/calories. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Row (Calories), Burpees, Double Unders. 1 minute rest between rounds. Score is total reps/calories. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Row (Calories), Burpees, Double Unders. 1 minute rest between rounds. Score is total reps/calories. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Row (Calories), Burpees, Double Unders. 1 minute rest between rounds. Score is total reps/calories. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""The Ghost workout demo Row (Calories)"", ""CF Library Search"": ""The Ghost workout demo Row (Calories) CrossFit movement demo""}",Gymnastics Skill,Minimal,The Ghost - A general conditioning (mixed stimulus) challenge that demands focus and grit.
Gymnastic Endurance,Gymnastics/Skill,For Time (21-15-9 Reps),"Ring Dips, Toes-to-Bar, GHD Sit-ups.","Rings, Pull-up Bar, GHD","Upper Body, Core","Gymnastic Stamina, Midline Strength",,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,3,Gymnastics,4,Push,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Dip"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""Push"", ""equipment"": ""Rings, Pull-up Bar, GHD"", ""skill_level"": ""Intermediate""}, {""movement"": ""Toes-To-Bar"", ""reps"": """", ""type"": ""Gymnastics"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Rings, Pull-up Bar, GHD"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Ring Dips, Toes-to-Bar, GHD Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Ring Dips, Toes-to-Bar, GHD Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Ring Dips, Toes-to-Bar, GHD Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Ring Dips, Toes-to-Bar, GHD Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Gymnastic Endurance workout demo Ring Dips"", ""CF Library Search"": ""Gymnastic Endurance workout demo Ring Dips CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Minimal,Gymnastic Endurance - Expect sharp efforts and quick transitions; small mistakes add up.
Unilateral Thruster,Dumbbell/Kettlebell,AMRAP in 16 Minutes,"10 Single-Arm Dumbbell Thrusters (5 per arm, (25/15 kgs)), 10 Box Step-overs, 10 Push-ups.","Single Dumbbell, Box","Full Body, Stability","Unilateral Strength, Cardio",,,Long,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Moderate,,25/15kg,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),,4,Weightlifting,5,"Push, Squat",Aerobic/Mixed (Long AMRAP),Standard,,"[{""movement"": ""Thruster"", ""reps"": ""10 5"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""15 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Single Dumbbell, Box"", ""skill_level"": ""Intermediate""}, {""movement"": ""10 Box Step-Overs"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Single Dumbbell, Box"", ""skill_level"": ""Intermediate""}, {""movement"": ""Push-Up"", ""reps"": ""10"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""Single Dumbbell, Box"", ""skill_level"": ""Intermediate""}]",9,Elite,"{""RX_rounds"": 12, ""Intermediate_rounds"": 9, ""Beginner_rounds"": 6, ""Minutes"": 12}",,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""5 Single-Arm Dumbbell Thrusters (2 per arm, (12/7 kgs)), 5 Box Step-overs, 5 Push-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Single-Arm Dumbbell Thrusters (5 per arm, (25/15 kgs)), 10 Box Step-overs, 10 Push-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Single-Arm Dumbbell Thrusters (5 per arm, (25/15 kgs)), 10 Box Step-overs, 10 Push-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Single-Arm Dumbbell Thrusters (5 per arm, (25/15 kgs)), 10 Box Step-overs, 10 Push-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Unilateral Thruster workout demo 10 Single-Arm Dumbbell Thrusters (5 per arm"", ""CF Library Search"": ""Unilateral Thruster workout demo 10 Single-Arm Dumbbell Thrusters (5 per arm CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Unilateral Thruster - Brutal but fair; pace wisely and prioritize technique.
Barbell 100,Barbell/Weightlifting,For Time (100 Reps Total),"10 Hang Power Cleans, 10 Front Squats (Repeat 5 times at (60/45 kgs)).",Barbell (60/45 kgs),"Hips, Legs, Core","Strength Endurance, Barbell Cycling",,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Simple,,60/45kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Weightlifting,3,"Hinge, Squat",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Clean"", ""reps"": ""10"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""10 Front Squats (Repeat 5 Times At (60"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (60/45 kgs)"", ""skill_level"": ""Intermediate""}, {""movement"": ""45 Kgs))."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (60/45 kgs)"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""5 Hang Power Cleans, 5 Front Squats (Repeat 2 times at (30/22 kgs)). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Hang Power Cleans, 10 Front Squats (Repeat 5 times at (60/45 kgs)). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Hang Power Cleans, 10 Front Squats (Repeat 5 times at (60/45 kgs)). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Hang Power Cleans, 10 Front Squats (Repeat 5 times at (60/45 kgs)). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Barbell 100 workout demo 10 Hang Power Cleans"", ""CF Library Search"": ""Barbell 100 workout demo 10 Hang Power Cleans CrossFit movement demo""}",Lactate Threshold / Conditioning,Moderate,Barbell 100 - A for time - high intensity pacing challenge that demands focus and grit.
The Centurion,Bodyweight/Travel,For Time (10 Rounds),"10 Burpees, 10 Walking Lunges (per leg), 10 Air Squats, 10 Sit-ups.",None (Bodyweight),"Full Body, High Volume","Mental Toughness, Final Test of Will",,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,4,Gymnastics,5,Squat,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Burpee"", ""reps"": ""10"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""None (Bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""10 Walking Lunges (Per Leg)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""None (Bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""10 Air Squats"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""None (Bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": ""10"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""None (Bodyweight)"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""5 Burpees, 5 Walking Lunges (per leg), 5 Air Squats, 5 Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Burpees, 10 Walking Lunges (per leg), 10 Air Squats, 10 Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Burpees, 10 Walking Lunges (per leg), 10 Air Squats, 10 Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Burpees, 10 Walking Lunges (per leg), 10 Air Squats, 10 Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""The Centurion workout demo 10 Burpees"", ""CF Library Search"": ""The Centurion workout demo 10 Burpees CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Minimal,The Centurion - Expect sharp efforts and quick transitions; small mistakes add up.
Annie,Benchmark (Girl/Classic),For Time (Typically 5-10 minutes),Complete 50-40-30-20-10 reps of Double Unders and Sit-ups.,"Jump Rope (for Double Unders), Mat","Core, Cardiovascular System, Hips","Coordination, Speed, Stamina",,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",Simple,,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Anaerobic Glycolytic (Short),,2,Gymnastics,3,General,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Double Under"", ""reps"": ""50-40 30-20 10"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Jump Rope (for Double Unders), Mat"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Jump Rope (for Double Unders), Mat"", ""skill_level"": ""Intermediate""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Complete 25-20-15-10-5 reps of Double Unders and Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 50-40-30-20-10 reps of Double Unders and Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 50-40-30-20-10 reps of Double Unders and Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 50-40-30-20-10 reps of Double Unders and Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Annie workout demo Complete 50-40-30-20-10 reps of Double Unders and Sit-ups."", ""CF Library Search"": ""Annie workout demo Complete 50-40-30-20-10 reps of Double Unders and Sit-ups. CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill, Lactate Threshold / Conditioning",Minimal,Annie - Expect sharp efforts and quick transitions; small mistakes add up.
Diane,Benchmark (Girl/Classic),21-15-9 Reps For Time (Typically 4-8 minutes),Deadlifts ((100/70 kgs)) and Handstand Push-ups.,"Barbell (100/70 kgs), Wall","Posterior Chain, Shoulders, Triceps","Strength Endurance, Gymnastic Stamina",,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Simple,,100/70kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Weightlifting,3,"Hinge, Push",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Deadlift"", ""reps"": ""100"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""70 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (100/70 kgs), Wall"", ""skill_level"": ""Intermediate""}, {""movement"": ""Handstand Push-Up"", ""reps"": """", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""None (bodyweight)"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""Deadlifts ((50/35 kgs)) and Handstand Push-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Deadlifts ((100/70 kgs)) and Handstand Push-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Deadlifts ((100/70 kgs)) and Handstand Push-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Deadlifts ((100/70 kgs)) and Handstand Push-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Diane workout demo Deadlifts ((100/70 kgs)) and Handstand Push-ups."", ""CF Library Search"": ""Diane workout demo Deadlifts ((100/70 kgs)) and Handstand Push-ups. CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Moderate,Diane - Brutal but fair; pace wisely and prioritize technique.
