Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Time Domain,Scaling Options,Movement Types,Workout Complexity,Target Stimulus,RX Standards,Score Type,Level,Environment,Equipment Alternatives,Energy System,Coach Notes,Movement Count,Primary Category,Difficulty Score,Movement Patterns,Stimulus,Structure Type,Description,Movement-Level-Metadata,Difficulty-Score-Computed,Difficulty-Label,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Demo-Search-Queries,Training-Adaptation-Tags,Equipment-Footprint,Flavor-Text,Instruction_Valid,WorkoutID,DifficultyTier,Instructions_Clean
Barbell & Bike AMRAP,Barbell/weightlifting,AMRAP in 14 Minutes,"12 deadlifts ((85/60 kgs)), 8 hang power cleans ((85/60 kgs)), 10/8 calorie bike.","Barbell, Bike","Posterior Chain, Cardio","Power Endurance, Lactic Threshold",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",Moderate,General,"85/60kg, 85/60kg",Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),No additional notes,3,Weightlifting,4,Hinge,Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""Deadlift"", ""reps"": ""12 85"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""60 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Bike"", ""skill_level"": ""Intermediate""}, {""movement"": ""Clean"", ""reps"": ""8 85"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""60 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Bike"", ""skill_level"": ""Intermediate""}, {""movement"": ""8 Calorie Bike."", ""reps"": """", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",6,Moderate,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""6 Deadlifts ((42/30 kgs)), 4 Hang Power Cleans ((42/30 kgs)), 5/4 Calorie Bike. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""12 Deadlifts ((85/60 kgs)), 8 Hang Power Cleans ((85/60 kgs)), 10/8 Calorie Bike. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""12 Deadlifts ((85/60 kgs)), 8 Hang Power Cleans ((85/60 kgs)), 10/8 Calorie Bike. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""12 Deadlifts ((85/60 kgs)), 8 Hang Power Cleans ((85/60 kgs)), 10/8 Calorie Bike. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Barbell & Bike AMRAP workout demo 12 Deadlifts ((85/60 kgs))"", ""CF Library Search"": ""Barbell & Bike AMRAP workout demo 12 Deadlifts ((85/60 kgs)) CrossFit movement demo""}",Aerobic Endurance,Moderate,Barbell & Bike AMRAP - Brutal but fair; pace wisely and prioritize technique.,OK,27,Intermediate,"12 deadlifts ((85/60 kgs)), 8 hang power cleans ((85/60 kgs)), 10/8 calorie bike."
Bodyweight 30,Bodyweight/travel,AMRAP in 30 Minutes,"100 single unders, 20 Sit-ups, 10 walking lunges (per leg). for time",Jump Rope,"Full Body, Endurance","Stamina, High Volume",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,Long aerobic gymnastics endurance.,Bodyweight or unspecified,Rounds,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),Move continuously; avoid red-lining; break push-ups early.,3,Gymnastics,4,General,Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""100 Single Unders"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Jump Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": ""20"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Jump Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""10 Walking Lunges (Per Leg)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Jump Rope"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""50 Single Unders, 10 Sit-ups, 5 Walking Lunges (per leg). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""100 Single Unders, 20 Sit-ups, 10 Walking Lunges (per leg). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""100 Single Unders, 20 Sit-ups, 10 Walking Lunges (per leg). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""100 Single Unders, 20 Sit-ups, 10 Walking Lunges (per leg). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Bodyweight 30 workout demo 100 Single Unders"", ""CF Library Search"": ""Bodyweight 30 workout demo 100 Single Unders CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Bodyweight 30 - Expect sharp efforts and quick transitions; small mistakes add up.,CHECK,28,Intermediate,"100 single unders, 20 sit-ups, 10 walking lunges (per leg). complete the following for time"
The Push/pull EMOM,Gymnastics/skill,EMOM for 20 Minutes,odd minutes: max ring dips. even minutes: max toes-to-bar. for time,"Rings, Pull-up Bar","Upper Body, Core",Gymnastic Stamina,Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Simple,General,Bodyweight or unspecified,Rounds/Load,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),No additional notes,1,Gymnastics,4,Push,Interval Power / Strength-Endurance,EMOM,No description available,"[{""movement"": ""Toes-To-Bar"", ""reps"": """", ""type"": ""Gymnastics"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",7,Hard,"{""RX_rounds"": 21, ""Intermediate_rounds"": 16, ""Beginner_rounds"": 10, ""Minutes"": 20}",4m 30s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""The Push/Pull EMOM workout demo Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar."", ""CF Library Search"": ""The Push/Pull EMOM workout demo Odd Minutes: Max Ring Dips. Even Minutes: Max Toes-to-Bar. CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill, Power/Speed",Minimal,The Push/Pull EMOM - A interval power / strength-endurance challenge that demands focus and grit.,CHECK,29,Advanced,Odd minutes: max ring dips. even minutes: max toes-to-bar. complete the following for time
Overhead Carry AMRAP,Dumbbell/kettlebell,AMRAP in 16 Minutes,"50 ft single-arm overhead dumbbell carry (right arm, (25/15 kgs)), 10 burpees, 50 ft single-arm overhead dumbbell carry (left arm), 10 Sit-ups.",Dumbbell,"Core Stability, Shoulders, Cardio","Midline Strength, Unilateral Stability",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Complex,General,25/15kg,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),No additional notes,5,Gymnastics,6,General,Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""50 Ft Single-Arm Overhead Dumbbell Carry (Right Arm"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Dumbbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""15 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Dumbbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Burpee"", ""reps"": ""10"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Dumbbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""50 Ft Single-Arm Overhead Dumbbell Carry (Left Arm)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Dumbbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": ""10"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Dumbbell"", ""skill_level"": ""Intermediate""}]",9,Elite,"{""RX_rounds"": 12, ""Intermediate_rounds"": 9, ""Beginner_rounds"": 6, ""Minutes"": 12}",6m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""25 ft Single-Arm Overhead Dumbbell Carry (right arm, (12/7 kgs)), 5 Burpees, 25 ft Single-Arm Overhead Dumbbell Carry (left arm), 5 Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50 ft Single-Arm Overhead Dumbbell Carry (right arm, (25/15 kgs)), 10 Burpees, 50 ft Single-Arm Overhead Dumbbell Carry (left arm), 10 Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50 ft Single-Arm Overhead Dumbbell Carry (right arm, (25/15 kgs)), 10 Burpees, 50 ft Single-Arm Overhead Dumbbell Carry (left arm), 10 Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50 ft Single-Arm Overhead Dumbbell Carry (right arm, (25/15 kgs)), 10 Burpees, 50 ft Single-Arm Overhead Dumbbell Carry (left arm), 10 Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Overhead Carry AMRAP workout demo 50 ft Single-Arm Overhead Dumbbell Carry (right arm"", ""CF Library Search"": ""Overhead Carry AMRAP workout demo 50 ft Single-Arm Overhead Dumbbell Carry (right arm CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Overhead Carry AMRAP - Expect sharp efforts and quick transitions; small mistakes add up.,OK,30,Elite,"50 ft single-arm overhead dumbbell carry (right arm, (25/15 kgs)), 10 burpees, 50 ft single-arm overhead dumbbell carry (left arm), 10 sit-ups."
EMOM Of Thrusters,Emom/pacing,EMOM for 10 Minutes,complete 6 thrusters ((45/30 kgs)). rest with any remaining time.,Barbell (45/30 kgs),"Full Body, Pacing","Anaerobic Power, Pacing",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Simple,General,45/30kg,Rounds/Load,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,1,Weightlifting,2,"Push, Squat",Interval Power / Strength-Endurance,EMOM,No description available,"[{""movement"": ""Thruster"", ""reps"": ""6 45"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""30 Kgs)). Rest With Any Remaining Time."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (45/30 kgs)"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",Time varies by athlete,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""Complete 3 Thrusters ((22/15 kgs)). Rest with any remaining time. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 6 Thrusters ((45/30 kgs)). Rest with any remaining time. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 6 Thrusters ((45/30 kgs)). Rest with any remaining time. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 6 Thrusters ((45/30 kgs)). Rest with any remaining time. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""EMOM of Thrusters workout demo Complete 6 Thrusters ((45/30 kgs)). Rest with any remaining time."", ""CF Library Search"": ""EMOM of Thrusters workout demo Complete 6 Thrusters ((45/30 kgs)). Rest with any remaining time. CrossFit movement demo""}",Power/Speed,Moderate,EMOM of Thrusters - Brutal but fair; pace wisely and prioritize technique.,OK,31,Intermediate,Complete 6 thrusters ((45/30 kgs)). rest with any remaining time.
Rowing Pyramid AMRAP,Amrap/interval,AMRAP in 17 Minutes,"5 Pull-ups, 10 Push-ups, 15 squats. after each round, row 100m before starting the next round.","Pull-up Bar, Rower","Full Body, Conditioning","Muscular Endurance, Aerobic Transition",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",Moderate,General,Bodyweight or unspecified,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),No additional notes,4,Gymnastics,5,"Pull, Push, Squat",Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""Pull-Up"", ""reps"": ""5"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Push-Up"", ""reps"": ""10"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""Pull-up Bar, Rower"", ""skill_level"": ""Intermediate""}, {""movement"": ""15 Squats. After Each Round"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Rower"", ""skill_level"": ""Intermediate""}, {""movement"": ""Row"", ""reps"": ""100"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",8,Hard,"{""RX_rounds"": 12, ""Intermediate_rounds"": 9, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""2 Pull-ups, 5 Push-ups, 7 Squats. After each round, row 50m before starting the next round. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5 Pull-ups, 10 Push-ups, 15 Squats. After each round, row 100m before starting the next round. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5 Pull-ups, 10 Push-ups, 15 Squats. After each round, row 100m before starting the next round. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5 Pull-ups, 10 Push-ups, 15 Squats. After each round, row 100m before starting the next round. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Rowing Pyramid AMRAP workout demo 5 Pull-ups"", ""CF Library Search"": ""Rowing Pyramid AMRAP workout demo 5 Pull-ups CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Moderate,Rowing Pyramid AMRAP - Brutal but fair; pace wisely and prioritize technique.,OK,32,Advanced,"5 pull-ups, 10 push-ups, 15 squats. after each round, row 100m before starting the next round."
Snatch Cycle AMRAP,Barbell/weightlifting,AMRAP in 12 Minutes,"6 power snatches ((35/25 kgs)), 12 box jumps (24/20 in), 18 Kettlebell swings (24/16 kg).","Barbell, Box, Kettlebell","Hips, Shoulders, Legs","Explosive Speed, Consistency",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Moderate,General,"35/25kg, 24/16kg",Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),No additional notes,3,Weightlifting,4,Hinge,Anaerobic/Mixed (AMRAP Intensity),Standard,No description available,"[{""movement"": ""Snatch"", ""reps"": ""6 35"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""25 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Box, Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""12 24"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Box, Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""20 In)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Box, Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Kettlebell Swing"", ""reps"": ""18 24"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""16 Kg)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Box, Kettlebell"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""3 Power Snatches ((17/12 kgs)), 6 Box Jumps (12/10 in), 9 Kettlebell Swings (12/8 kg). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""6 Power Snatches ((35/25 kgs)), 12 Box Jumps (24/20 in), 18 Kettlebell Swings (24/16 kg). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""6 Power Snatches ((35/25 kgs)), 12 Box Jumps (24/20 in), 18 Kettlebell Swings (24/16 kg). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""6 Power Snatches ((35/25 kgs)), 12 Box Jumps (24/20 in), 18 Kettlebell Swings (24/16 kg). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Snatch Cycle AMRAP workout demo 6 Power Snatches ((35/25 kgs))"", ""CF Library Search"": ""Snatch Cycle AMRAP workout demo 6 Power Snatches ((35/25 kgs)) CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Full Gym,Snatch Cycle AMRAP - A anaerobic/mixed (amrap intensity) challenge that demands focus and grit.,OK,33,Intermediate,"6 power snatches ((35/25 kgs)), 12 box jumps (24/20 in), 18 kettlebell swings (24/16 kg)."
Partner AMRAP (alt Rounds),Amrap/interval,AMRAP in 24 Minutes (Teams of 2),"partner a completes a full round of: 15 wall balls, 10 calorie row. partner b rests. partners alternate rounds.","Wall Ball, Rower","Full Body, Pacing","Teamwork, Consistent Output",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",Simple,General,Bodyweight or unspecified,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,2,Weightlifting,3,"Pull, Squat",Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""Wall Ball"", ""reps"": ""15"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Row"", ""reps"": ""10"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",5,Moderate,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""Partner A completes a full round of: 7 Wall Balls, 5 Calorie Row. Partner B rests. Partners alternate rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Partner A completes a full round of: 15 Wall Balls, 10 Calorie Row. Partner B rests. Partners alternate rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Partner A completes a full round of: 15 Wall Balls, 10 Calorie Row. Partner B rests. Partners alternate rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Partner A completes a full round of: 15 Wall Balls, 10 Calorie Row. Partner B rests. Partners alternate rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Partner AMRAP (Alt Rounds) workout demo Partner A completes a full round of: 15 Wall Balls"", ""CF Library Search"": ""Partner AMRAP (Alt Rounds) workout demo Partner A completes a full round of: 15 Wall Balls CrossFit movement demo""}",General Conditioning,Moderate,Partner AMRAP (Alt Rounds) - Brutal but fair; pace wisely and prioritize technique.,OK,34,Intermediate,"Partner a completes a full round of: 15 wall balls, 10 calorie row. partner b rests. partners alternate rounds."
Heavy Dumbbell EMOM,Dumbbell/kettlebell,EMOM for 15 Minutes,minutes 1-5: 5 dumbbell cleans ((30/25 kgs)). minutes 6-10: 5 dumbbell shoulder-to-overhead. minutes 11-15: 5 dumbbell squats (holding dbs).,2 Heavy Dumbbells,"Strength, Power",Strength Endurance,Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Simple,General,30/25kg,Rounds/Load,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,1,Weightlifting,2,"Hinge, Squat",Interval Power / Strength-Endurance,EMOM,No description available,"[{""movement"": ""Clean"", ""reps"": ""1-5 5 30"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""25 Kgs)). Minutes 6-10: 5 Dumbbell Shoulder-To-Overhead. Minutes 11-15: 5 Dumbbell Squats (Holding Dbs)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""2 Heavy Dumbbells"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",6m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Minutes 1-2: 2 Dumbbell Cleans ((15/12 kgs)). Minutes 3-5: 2 Dumbbell Shoulder-to-Overhead. Minutes 5-7: 2 Dumbbell Squats (holding DBs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Minutes 1-5: 5 Dumbbell Cleans ((30/25 kgs)). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Minutes 1-5: 5 Dumbbell Cleans ((30/25 kgs)). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Minutes 1-5: 5 Dumbbell Cleans ((30/25 kgs)). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Heavy Dumbbell EMOM workout demo Minutes 1-5: 5 Dumbbell Cleans ((30/25 kgs)). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs)."", ""CF Library Search"": ""Heavy Dumbbell EMOM workout demo Minutes 1-5: 5 Dumbbell Cleans ((30/25 kgs)). Minutes 6-10: 5 Dumbbell Shoulder-to-Overhead. Minutes 11-15: 5 Dumbbell Squats (holding DBs). CrossFit movement demo""}",Power/Speed,Minimal,Heavy Dumbbell EMOM - A interval power / strength-endurance challenge that demands focus and grit.,OK,35,Intermediate,Minutes 1-5: 5 dumbbell cleans ((30/25 kgs)). minutes 6-10: 5 dumbbell shoulder-to-overhead. minutes 11-15: 5 dumbbell squats (holding dbs).
Gymnastics Chipper AMRAP,Gymnastics/skill,AMRAP in 15 Minutes,"10 chest-to-bar Pull-ups, 15 hand release Push-ups, 20 abmat Sit-ups.","Pull-up Bar, Mat","Upper Body, Core",Gymnastic Stamina,Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,General,Bodyweight or unspecified,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),No additional notes,3,Gymnastics,4,"Pull, Push",Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""Pull-Up"", ""reps"": ""10"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Push-Up"", ""reps"": ""15"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""Pull-up Bar, Mat"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": ""20"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Mat"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",4m 30s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""5 Chest-to-Bar Pull-ups, 7 Hand Release Push-ups, 10 AbMat Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Chest-to-Bar Pull-ups, 15 Hand Release Push-ups, 20 AbMat Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Chest-to-Bar Pull-ups, 15 Hand Release Push-ups, 20 AbMat Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Chest-to-Bar Pull-ups, 15 Hand Release Push-ups, 20 AbMat Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Gymnastics Chipper AMRAP workout demo 10 Chest-to-Bar Pull-ups"", ""CF Library Search"": ""Gymnastics Chipper AMRAP workout demo 10 Chest-to-Bar Pull-ups CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Gymnastics Chipper AMRAP - A aerobic/mixed (long amrap) challenge that demands focus and grit.,OK,36,Intermediate,"10 chest-to-bar pull-ups, 15 hand release push-ups, 20 abmat sit-ups."
